strain,date,country,region,url,author,accession
FVM00318/VEN/Maracay/2016,10/19/2016,Venezuela,South America,,Leguia et al B,KY693680
AMA5,3/10/2016,Brazil,South America,,?,MK216688
AMA61,12/16/2015,Brazil,South America,,?,MK216729
Z03,12/15/2015,Brazil,South America,,?,MK216747
AMA35,2/29/2016,Brazil,South America,,?,MK216707
AMA6,3/15/2016,Brazil,South America,,?,MK216691
AMA52,2/2/2016,Brazil,South America,,?,MK216732
AMA37,3/1/2016,Brazil,South America,,?,MK216709
AMA46,2/10/2016,Brazil,South America,,?,MK216715
AMA22,5/16/2016,Brazil,South America,,?,MK216699
AMA42,2/10/2016,Brazil,South America,,?,MK216712
AMA41,2/3/2016,Brazil,South America,,?,MK216710
AMA48,2/2/2016,Brazil,South America,,?,MK216717
AMA38,3/2/2016,Brazil,South America,,?,MK216708
AMA9,3/18/2016,Brazil,South America,,?,MK216690
AMA44,1/29/2016,Brazil,South America,,?,MK216714
AMA70,1/29/2016,Brazil,South America,,?,MK216731
AMA66,1/23/2016,Brazil,South America,,?,MK216728
AMA32,4/5/2016,Brazil,South America,,?,MK216705
AMA302,12/8/2015,Brazil,South America,,?,MK216745
Z02,12/15/2015,Brazil,South America,,?,MK216748
AMA51,1/25/2016,Brazil,South America,,?,MK216720
AMA16,4/5/2016,Brazil,South America,,?,MK216695
AMA43,2/10/2016,Brazil,South America,,?,MK216711
AMA84,3/27/2017,Brazil,South America,,?,MK216736
AMA82,3/24/2017,Brazil,South America,,?,MK216738
AMA91,4/7/2017,Brazil,South America,,?,MK216744
AMA90,3/29/2017,Brazil,South America,,?,MK216742
AMA85,3/27/2017,Brazil,South America,,?,MK216740
AMA15,4/5/2016,Brazil,South America,,?,MK216694
AMA50,2/10/2016,Brazil,South America,,?,MK216719
AMA27,2/15/2016,Brazil,South America,,?,MK216703
